sep=;
Track ID;Name;Artist;Album;Genre;
810;Blink;Eldar Djangirov Trio & Joe Locke;Breakthrough;Jazz;
812;Sleep Like a Baby Tonight;U2;Songs of Innocence;Rock;
814;Tokyo Pulse;Eldar Djangirov Trio;Breakthrough;Jazz;
816;Volcano;U2;Songs of Innocence;Rock;
818;Cedarwood Road;U2;Songs of Innocence;Rock;
820;Raised By Wolves;U2;Songs of Innocence;Rock;
822;The Troubles;U2;Songs of Innocence;Rock;
824;This Is Where You Can Reach Me Now;U2;Songs of Innocence;Rock;
826;Somebody Loves me;Eldar Djangirov Trio;Breakthrough;Jazz;
828;California (There Is No End to Love);U2;Songs of Innocence;Rock;
830;Every Breaking Wave;U2;Songs of Innocence;Rock;
832;Point of View Redux;Eldar Djangirov Trio;Breakthrough;Jazz;
834;Song for Someone;U2;Songs of Innocence;Rock;
836;What'll I Do;Eldar Djangirov Trio;Breakthrough;Jazz;
838;Breakthrough;Eldar Djangirov Trio;Breakthrough;Jazz;
840;The Miracle (Of Joey Ramone);U2;Songs of Innocence;Rock;
842;Iris (Hold Me Close);U2;Songs of Innocence;Rock;
844;In Pursuit;Eldar Djangirov Trio;Breakthrough;Jazz;
846;Morning Bell;Eldar Djangirov Trio;Breakthrough;Jazz;
848;Caroline, No;The Beach Boys;Good Vibrations: Thirty Years of the Beach Boys;Pop;
850;Time / Breathe Reprise;Greensky Bluegrass;All Access, Vol. 1;Country;
852;Dream a Little Dream of Me;Michael Bubl̩;Special Delivery - EP;Pop;
854;Good Vibrations;The Beach Boys;The Beach Boys: 20 Good Vibrations - The Greatest Hits, Vol. 1;Pop;
856;Billie Jean;Michael Jackson;Thriller;Pop;
858;Hope;Eldar Djangirov Trio;Breakthrough;Jazz;
860;Good Morning Heartache;Eldar Djangirov Trio;Breakthrough;Jazz;
862;No Moon At All;Eldar Djangirov Trio;Breakthrough;Jazz;
864;360 Keeper of Lost Causes;Adler-Olsen Jussi;360 Keeper of Lost Causes;Audiobook;
866;361 Absent One;Adler-Olsen Jussi;361 Absent One;Audiobook;
